date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:25:00	141255/141255	---M--	200	added ('OK')	image/png	date:Sat,%2006%20Aug%202016%2014:27:06%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/img/matthieu.png	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/img/matthieu.png	(from http://bnbkeeper.webimprovise.com/au/discover-our-keepers)
20:25:02	51228/51228	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Jul%202010%2011:50:44%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/img/flag/spain.png	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/img/flag/spain.png	(from http://bnbkeeper.webimprovise.com/au/discover-our-keepers)
20:25:10	60318/60318	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Jul%202010%2010:33:58%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/img/flag/brazil.png	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/img/flag/brazil.png	(from http://bnbkeeper.webimprovise.com/au/discover-our-keepers)
20:25:19	41476/41476	---M--	200	added ('OK')	image/png	date:Thu,%2008%20Jul%202010%2011:01:26%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/img/flag/hong-kong.png	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/img/flag/hong-kong.png	(from http://bnbkeeper.webimprovise.com/au/discover-our-keepers)
20:25:23	131086/131086	---M--	200	added ('OK')	image/png	date:Sat,%2006%20Aug%202016%2014:27:06%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/img/roy.png	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/img/roy.png	(from http://bnbkeeper.webimprovise.com/au/discover-our-keepers)
20:25:25	176802/176802	---M--	200	added ('OK')	image/png	date:Sat,%2006%20Aug%202016%2014:27:06%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/img/ana.png	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/img/ana.png	(from http://bnbkeeper.webimprovise.com/au/discover-our-keepers)
20:25:25	9504/9504	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Aug%202016%2014:47:32%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/img/arrow-2.png	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/img/arrow-2.png	(from http://bnbkeeper.webimprovise.com/au/how-does-it-work)
20:25:28	9373/9373	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Aug%202016%2014:47:32%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/img/arrow-2-rt.png	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/img/arrow-2-rt.png	(from http://bnbkeeper.webimprovise.com/au/how-does-it-work)
20:25:31	33197/33197	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Aug%202016%2014:47:34%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/img/step-01.png	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/img/step-01.png	(from http://bnbkeeper.webimprovise.com/au/how-does-it-work)
20:25:37	54451/54451	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Aug%202016%2014:47:34%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/img/step-02.png	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/img/step-02.png	(from http://bnbkeeper.webimprovise.com/au/how-does-it-work)
20:25:40	13917/13917	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Aug%202016%2014:47:34%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/img/step-04.png	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/img/step-04.png	(from http://bnbkeeper.webimprovise.com/au/how-does-it-work)
20:25:44	74082/74082	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Aug%202016%2014:47:34%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/img/step-03.png	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/img/step-03.png	(from http://bnbkeeper.webimprovise.com/au/how-does-it-work)
20:25:52	528056/528056	---M--	200	added ('OK')	image/jpeg	date:Thu,%2018%20Aug%202016%2011:00:06%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/img/keeper-pic5.jpg	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/img/keeper-pic5.jpg	(from http://bnbkeeper.webimprovise.com/au/discover-our-keepers)
20:26:06	166344/166344	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Aug%202016%2014:47:34%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/img/step-05.png	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/img/step-05.png	(from http://bnbkeeper.webimprovise.com/au/how-does-it-work)
20:26:28	220767/220767	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Aug%202016%2014:47:34%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/img/i-am-guest.jpg	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/img/i-am-guest.jpg	(from http://bnbkeeper.webimprovise.com/au/guest)
20:26:28	1130/1130	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Jan%202017%2009:28:44%20GMT	http://bnbkeeper.webimprovise.com/au/press_redirect.php?id=2	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/au/press_redirect.860b30.delayed	(from http://bnbkeeper.webimprovise.com/au/media)
20:27:05	358542/358542	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Aug%202016%2014:47:34%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/img/media.jpg	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/img/media.jpg	(from http://bnbkeeper.webimprovise.com/au/media)
20:27:12	543830/543830	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Aug%202016%2014:47:32%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/img/faq.jpg	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/img/faq.jpg	(from http://bnbkeeper.webimprovise.com/au/faq)
20:27:13	67424/67424	---MC-	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202017%2009:29:28%20GMT	http://bnbkeeper.webimprovise.com/au/apply-to-be-keeper	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/au/apply-to-be-keeper.html	(from http://bnbkeeper.webimprovise.com/au/become-a-keeper)
20:27:18	315637/315637	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Aug%202016%2014:47:34%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/img/terms-and-conditions.jpg	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/img/terms-and-conditions.jpg	(from http://bnbkeeper.webimprovise.com/au/terms-and-conditions)
20:30:49	3381262/3381262	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202016%2013:49:46%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/img/how-does-it-work.jpg	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/img/how-does-it-work.jpg	(from http://bnbkeeper.webimprovise.com/au/how-does-it-work)
20:31:52	4246023/4246023	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Aug%202016%2013:50:00%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/img/pic-13.jpg	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/img/pic-13.jpg	(from http://bnbkeeper.webimprovise.com/au/become-a-keeper)
20:31:52	4814/4814	---M--	200	added ('OK')	application/javascript	date:Thu,%2024%20Nov%202016%2012:07:54%20GMT	http://bnbkeeper.webimprovise.com/public/front_end/assets/js/individual_scripts/keeper_application.js	C:/My%20Web%20Sites/BNBKeeper/bnbkeeper.webimprovise.com/public/front_end/assets/js/individual_scripts/keeper_application.js	(from http://bnbkeeper.webimprovise.com/au/apply-to-be-keeper)
